deliverable_id,title,output_class,depends_on,recommended_profile,workflow_phase,work_unit_type,start_gate_ids,accept_gate_ids,release_gate_ids,required_portals,required_oracle_suite_id,verification_mode_default,required_evidence_bundle_kinds,budgets_default,stop_triggers_overrides,notes
D-11,Projection builder (read models from event streams),candidate,"D-10,D-06",STRICT-FULL,P2-PERSISTENCE,code.persistence,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-REPLAY-DETERMINISM-PASS",G-PERSIST-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,replay_proof","iterations:7;time:6h;cost:$75",,Projection determinism required for C-EVT-7
D-12,Dependency graph projection + staleness traversal,candidate,"D-10,D-09,D-06",STRICT-FULL,P2-PERSISTENCE,code.persistence,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-STALENESS-PROPAGATION-PASS",G-PERSIST-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,staleness_traversal_proof","iterations:7;time:6h;cost:$75",,Staleness mechanics per C-EVT-6
D-13,Outbox publisher and NATS event publication,candidate,D-10,STRICT-CORE,P2-PERSISTENCE,code.persistence,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS",G-PERSIST-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report","iterations:5;time:4h;cost:$50",,Outbox pattern for event relay
D-14,"Evidence store adapter (MinIO, content-addressed bundles)",candidate,"D-07,D-02",STRICT-CORE,P2-PERSISTENCE,code.evidence,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-CONTENT-ADDRESS-PASS",G-EVIDENCE-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,content_addressing_proof","iterations:5;time:4h;cost:$50",,C-EVID-3 content addressing
D-15,Evidence manifest v1 library + validation oracle,candidate,D-02,STRICT-CORE,P2-PERSISTENCE,code.evidence,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-SCHEMA-VALID,G-MANIFEST-COMPLETE-PASS",G-EVIDENCE-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,manifest_validation_report","iterations:5;time:4h;cost:$50",,C-EVID-1 minimum manifest
D-16,Restricted evidence handling (Infisical + envelope keys),candidate,D-14,STRICT-FULL,P2-PERSISTENCE,code.evidence,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-SECURITY-PASS",G-EVIDENCE-RELEASE,"ReleaseApprovalPortal,PhaseGatePortal",SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,security_audit","iterations:7;time:6h;cost:$75",,Security-critical; secrets handling
D-17,API service scaffold (Axum) + OIDC auth (Zitadel),candidate,D-02,STRICT-CORE,P3-API,code.api,"G-00,G-DEP-READY,G-PHASE-2-COMPLETE","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-AUTH-PASS",G-API-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,auth_test_report","iterations:5;time:4h;cost:$50",,API foundation + identity
D-18,"Core API endpoints (loops, iterations, candidates, runs)",candidate,"D-17,D-10,D-06,D-11",STRICT-FULL,P3-API,code.api,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-CONTRACT-PASS",G-API-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,api_contract_report","iterations:7;time:6h;cost:$75",,Core loop mechanics API
D-19,"Governance and portal-related API endpoints (approvals, freezes, exceptions, artifacts)",candidate,"D-18,D-12,D-14",STRICT-FULL,P3-API,code.api,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-CONTRACT-PASS,G-ACTOR-KIND-PASS",G-API-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,api_contract_report,actor_kind_audit","iterations:7;time:6h;cost:$75",,Human-only enforcement for portals
D-20,"Evidence API (upload, retrieve, associate with runs/candidates)",candidate,"D-14,D-18",STRICT-FULL,P3-API,code.api,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-CONTENT-ADDRESS-PASS,G-RETRIEVAL-PASS",G-API-RELEASE,"ReleaseApprovalPortal,PhaseGatePortal",SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,evidence_retrieval_proof","iterations:7;time:6h;cost:$75",,C-EVID-5 retrievability
D-21,NATS/JetStream messaging integration (contracts + reliability),candidate,D-13,STRICT-CORE,P4-ORCHESTRATION,code.orchestration,"G-00,G-DEP-READY,G-PHASE-3-COMPLETE","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-MESSAGING-RELIABLE-PASS",G-ORCH-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,messaging_reliability_report","iterations:5;time:4h;cost:$50",,Messaging substrate
D-22,Loop governor service (SYSTEM event emission + budgets),candidate,"D-21,D-18",STRICT-FULL,P4-ORCHESTRATION,code.orchestration,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-SYSTEM-ONLY-PASS,G-BUDGET-ENFORCEMENT-PASS",G-ORCH-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,system_actor_proof,budget_enforcement_proof","iterations:7;time:6h;cost:$75",,C-LOOP-* compliance; SYSTEM-only IterationStarted
D-23,Reference worker bridge (IterationStarted → context → candidate proposal),candidate,"D-08,D-22,D-20",STRICT-FULL,P4-ORCHESTRATION,code.orchestration,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-CTX-COMPILE-PASS,G-NO-GHOST-INPUTS-PASS",G-ORCH-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,context_derivation_proof","iterations:7;time:6h;cost:$75",,C-CTX-* and C-LOOP-2 compliance
D-24,Oracle runner service (Podman + gVisor),candidate,"D-02,D-14",STRICT-FULL,P4-ORACLES,code.oracle,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-SANDBOX-ISOLATION-PASS,G-DETERMINISM-PASS",G-ORACLE-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,sandbox_isolation_proof,determinism_proof","iterations:7;time:6h;cost:$75",,C-OR-3 environment constraints
D-25,Core oracle suite implementation (build/unit/schema/lint),candidate,"D-03,D-15",STRICT-CORE,P4-ORACLES,code.oracle,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-ORACLE-DETERMINISM-PASS",G-ORACLE-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,oracle_determinism_proof","iterations:5;time:4h;cost:$50",,C-OR-1 determinism for required oracles
D-26,Integration/e2e oracle suite (DB/MinIO/NATS/API/UI),candidate,"D-24,D-25,D-31,D-18,D-28",STRICT-FULL,P4-ORACLES,code.oracle,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-E2E-PASS",G-ORACLE-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,e2e_test_report","iterations:10;time:8h;cost:$100",,Complex dependencies; extended budget
D-27,Oracle integrity checks (TAMPER/GAP/FLAKE/ENV_MISMATCH),candidate,"D-24,D-25",STRICT-FULL,P4-ORACLES,code.oracle,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-INTEGRITY-DETECTION-PASS",G-ORACLE-RELEASE,"ReleaseApprovalPortal,PhaseGatePortal",SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,integrity_detection_proof","iterations:7;time:6h;cost:$75",,C-OR-4/5/6/7 integrity conditions
D-28,UI scaffold (React) + OIDC login,candidate,"D-02,D-17",STRICT-CORE,P5-UI,code.ui,"G-00,G-DEP-READY,G-PHASE-4-COMPLETE","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-AUTH-PASS",G-UI-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,auth_test_report","iterations:5;time:4h;cost:$50",,UI foundation
D-29,Loop/iteration/candidate views + evidence viewer,candidate,"D-28,D-20,D-18",STRICT-CORE,P5-UI,code.ui,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-UI-FUNCTIONAL-PASS",G-UI-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,ui_functional_report","iterations:5;time:4h;cost:$50",,Core UI views
D-30,"Portal workflows UI (approvals, exceptions, oracle suite changes)",candidate,"D-29,D-19",STRICT-FULL,P5-UI,code.ui,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-INTEGRATION-PASS,G-PORTAL-WORKFLOW-PASS,G-ACTOR-KIND-PASS",G-UI-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,test_report,integration_test_report,portal_workflow_report,actor_kind_audit","iterations:7;time:6h;cost:$75",,Human-only portal enforcement in UI
D-31,Self-host deployment stack (compose/podman),candidate,D-02,STRICT-OPS,P5-OPS,ops.deploy,"G-00,G-DEP-READY","G-BUILD-PASS,G-DEPLOY-PASS,G-HEALTH-PASS,G-IDEMPOTENCY-PASS",G-OPS-RELEASE,ReleaseApprovalPortal,SR-SUITE-OPS,STRICT,"build_log,deploy_log,health_check_report,idempotency_proof","iterations:7;time:6h;cost:$75",,Self-host deployment foundation
D-32,"Bootstrap/init scripts (DB, buckets, identity realm, secrets)",candidate,"D-31,D-09,D-16",STRICT-OPS,P5-OPS,ops.deploy,"G-00,G-DEP-READY","G-BUILD-PASS,G-DEPLOY-PASS,G-INIT-PASS,G-SECURITY-PASS",G-OPS-RELEASE,ReleaseApprovalPortal,SR-SUITE-OPS,STRICT,"build_log,deploy_log,init_report,security_audit","iterations:7;time:6h;cost:$75",,Bootstrap automation
D-33,Operational logging + minimal observability,candidate,"D-17,D-22,D-24",STRICT-CORE,P5-OPS,ops.observe,"G-00,G-DEP-READY","G-BUILD-PASS,G-UNIT-PASS,G-LINT-PASS,G-LOGGING-PASS",G-OPS-RELEASE,"ReleaseApprovalPortal,PhaseGatePortal",SR-SUITE-STRICT-CORE,STRICT,"build_log,test_report,lint_report,logging_report","iterations:5;time:4h;cost:$50",,Observability baseline
D-34,End-to-end harness (happy path),candidate,"D-22,D-23,D-24,D-25,D-19,D-30,D-31",STRICT-FULL,P6-E2E,test.e2e,"G-00,G-DEP-READY,G-PHASE-5-COMPLETE","G-BUILD-PASS,G-E2E-PASS,G-HAPPY-PATH-PASS",G-E2E-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,e2e_test_report,happy_path_proof","iterations:10;time:8h;cost:$100",,Full system integration
D-35,End-to-end harness (failure modes: integrity + exception),candidate,"D-34,D-27",STRICT-FULL,P6-E2E,test.e2e,"G-00,G-DEP-READY","G-BUILD-PASS,G-E2E-PASS,G-FAILURE-MODE-PASS,G-INTEGRITY-TRIGGER-PASS",G-E2E-RELEASE,ReleaseApprovalPortal,SR-SUITE-STRICT-FULL,STRICT,"build_log,e2e_test_report,failure_mode_proof,integrity_trigger_proof","iterations:10;time:8h;cost:$100",,Failure mode verification
D-36,Replayability demonstration (event stream → reconstructed state),candidate,"D-10,D-11,D-34",STRICT-FULL,P6-E2E,test.e2e,"G-00,G-DEP-READY","G-BUILD-PASS,G-E2E-PASS,G-REPLAY-DETERMINISM-PASS,G-STATE-RECONSTRUCTION-PASS",G-RELEASE-FINAL,"ReleaseApprovalPortal,PhaseGatePortal",SR-SUITE-STRICT-FULL,STRICT,"build_log,e2e_test_report,replay_proof,state_reconstruction_proof","iterations:10;time:8h;cost:$100",,C-EVT-7 replayability proof
