deliverable_id,title,output_class,depends_on,recommended_profile,workflow_phase,work_unit_type,start_gate_ids,accept_gate_ids,release_gate_ids,required_portals,required_oracle_suite_id,verification_mode_default,required_evidence_bundle_kinds,budgets_default,stop_triggers_overrides,notes
D-11,Projection builder (read models from event streams),candidate,"D-10, D-06",STRICT-CORE,PKG-04,projection_builder,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVT-APPENDONLY;G-PROJECTIONS-REBUILDABLE;G-GRAPH-SEMANTICS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-12,Dependency graph projection + staleness traversal,candidate,"D-10, D-09, D-06",STRICT-CORE,PKG-04,dependency_graph_and_staleness,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVT-APPENDONLY;G-PROJECTIONS-REBUILDABLE;G-GRAPH-SEMANTICS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-13,Outbox publisher and NATS event publication,candidate,D-10,STRICT-CORE,PKG-04,outbox_publisher_and_event_pub,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVT-APPENDONLY;G-PROJECTIONS-REBUILDABLE;G-GRAPH-SEMANTICS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-14,"Evidence store adapter (MinIO, content-addressed bundles)",candidate,"D-07, D-02",STRICT-CORE,PKG-05,adapter_evidence_store,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVID-MANIFEST-V1;G-EVID-CONTENT-ADDRESSED;G-EVID-SECRET-HANDLING,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-15,Evidence manifest v1 library + validation oracle,candidate,D-02,STRICT-CORE,PKG-05,evidence_manifest_lib_and_oracle,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVID-MANIFEST-V1;G-EVID-CONTENT-ADDRESSED;G-EVID-SECRET-HANDLING;G-EVIDENCE-SCHEMA-VALIDATOR,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-16,Restricted evidence handling (Infisical + envelope keys),candidate,D-14,STRICT-CORE,PKG-05,restricted_evidence_handling,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-EVID-MANIFEST-V1;G-EVID-CONTENT-ADDRESSED;G-EVID-SECRET-HANDLING,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,Evidence containing secrets must follow restricted-vault + redacted-copy policy.
D-17,API service scaffold (Axum) + OIDC auth (Zitadel),candidate,D-02,STRICT-CORE,PKG-06,api_scaffold_and_auth,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-AUTHZ-HUMAN-BINDING;G-API-CONTRACTS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-18,"Core API endpoints (loops, iterations, candidates, runs)",candidate,"D-17, D-10, D-06, D-11",STRICT-CORE,PKG-06,api_core_endpoints,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-AUTHZ-HUMAN-BINDING;G-API-CONTRACTS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-19,"Governance and portal-related API endpoints (approvals, freezes, exceptions, artifacts)",candidate,"D-18, D-12, D-14",STRICT-CORE,PKG-06,api_portals_and_governance_endpoints,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-AUTHZ-HUMAN-BINDING;G-API-CONTRACTS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-PORTAL-POLICY,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,Implements portal APIs; ensure UI/API remain non-binding—only record submissions/approvals.
D-20,"Evidence API (upload, retrieve, associate with runs/candidates)",candidate,"D-14, D-18",STRICT-CORE,PKG-06,api_evidence_endpoints,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-AUTHZ-HUMAN-BINDING;G-API-CONTRACTS,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-21,NATS/JetStream messaging integration (contracts + reliability),candidate,D-13,STRICT-CORE,PKG-07,messaging_integration,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-BUDGETS-STOPTRIGGERS;G-ASYNC-RELIABILITY,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-22,Loop governor service (SYSTEM event emission + budgets),candidate,"D-21, D-18",STRICT-CORE,PKG-07,loop_governor_service,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-BUDGETS-STOPTRIGGERS;G-ASYNC-RELIABILITY;G-STOPTRIGGER-N-DEFINED,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-23,Reference worker bridge (IterationStarted → context → candidate proposal),candidate,"D-08, D-22, D-20",STRICT-CORE,PKG-07,reference_worker_bridge,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-BUDGETS-STOPTRIGGERS;G-ASYNC-RELIABILITY,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":5,""max_oracle_runs"":25,""max_wallclock_hours"":16}",,
D-24,Oracle runner service (Podman + gVisor),candidate,"D-02, D-14",STRICT-CORE,PKG-08,oracle_runner_service,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-ORACLE-ENV-PINNED;G-ORACLE-SANDBOXED;G-ORACLE-INTEGRITY,G-ENG-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-ORACLE-SUITE-CHANGE,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":24}",,Oracle integrity stop triggers (ORACLE_TAMPER/GAP/ENV_MISMATCH/FLAKE) are non-waivable; suite changes require portal approval.
D-25,Core oracle suite implementation (build/unit/schema/lint),candidate,"D-03, D-15",STRICT-CORE,PKG-08,oracle_suite_core_implementation,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-ORACLE-ENV-PINNED;G-ORACLE-SANDBOXED;G-ORACLE-INTEGRITY,G-ENG-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-ORACLE-SUITE-CHANGE,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":24}",,Oracle integrity stop triggers (ORACLE_TAMPER/GAP/ENV_MISMATCH/FLAKE) are non-waivable; suite changes require portal approval.
D-26,Integration/e2e oracle suite (DB/MinIO/NATS/API/UI),candidate,"D-24, D-25, D-31, D-18, D-28",STRICT-FULL,PKG-08,oracle_suite_integration_e2e,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-ORACLE-ENV-PINNED;G-ORACLE-SANDBOXED;G-ORACLE-INTEGRITY,G-ENG-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-ORACLE-SUITE-CHANGE,suite:SR-SUITE-FULL,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":24}",,Oracle integrity stop triggers (ORACLE_TAMPER/GAP/ENV_MISMATCH/FLAKE) are non-waivable; suite changes require portal approval.
D-27,Oracle integrity checks (TAMPER/GAP/FLAKE/ENV_MISMATCH),candidate,"D-24, D-25",STRICT-CORE,PKG-08,oracle_integrity_checks,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-ORACLE-ENV-PINNED;G-ORACLE-SANDBOXED;G-ORACLE-INTEGRITY,G-ENG-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-ORACLE-SUITE-CHANGE,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":24}",,Oracle integrity stop triggers (ORACLE_TAMPER/GAP/ENV_MISMATCH/FLAKE) are non-waivable; suite changes require portal approval.
D-28,UI scaffold (React) + OIDC login,candidate,"D-02, D-17",STRICT-CORE,PKG-09,ui_scaffold_and_login,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-UI-NONBINDING;G-PORTAL-SUBMISSIONS-RECORDED,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":24}",,
D-29,Loop/iteration/candidate views + evidence viewer,candidate,"D-28, D-20, D-18",STRICT-CORE,PKG-09,ui_views_and_evidence_viewer,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-UI-NONBINDING;G-PORTAL-SUBMISSIONS-RECORDED,G-ENG-APPROVED,PORTAL-ENG-ACCEPT,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":24}",,
D-30,"Portal workflows UI (approvals, exceptions, oracle suite changes)",candidate,"D-29, D-19",STRICT-CORE,PKG-09,ui_portal_workflows,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-UI-NONBINDING;G-PORTAL-SUBMISSIONS-RECORDED,G-ENG-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-PORTAL-POLICY,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":24}",,UI must not imply approval; must record portal submissions with stable identity.
D-31,Self-host deployment stack (compose/podman),candidate,D-02,STRICT-FULL,PKG-10,self_host_deployment_stack,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-STACK-HEALTH;G-VERSIONS-PINNED;G-OBSERVABILITY-MIN,G-ENG-APPROVED;G-RELEASE-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-RELEASE,suite:SR-SUITE-FULL,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":32}",,Release portal required for artifacts promoted to self-host baseline / demo freeze.
D-32,"Bootstrap/init scripts (DB, buckets, identity realm, secrets)",candidate,"D-31, D-09, D-16",STRICT-FULL,PKG-10,bootstrap_init_scripts,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-STACK-HEALTH;G-VERSIONS-PINNED;G-OBSERVABILITY-MIN,G-ENG-APPROVED;G-RELEASE-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-RELEASE,suite:SR-SUITE-FULL,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":32}",,Release portal required for artifacts promoted to self-host baseline / demo freeze.
D-33,Operational logging + minimal observability,candidate,"D-17, D-22, D-24",STRICT-CORE,PKG-10,ops_logging_observability,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-STACK-HEALTH;G-VERSIONS-PINNED;G-OBSERVABILITY-MIN,G-ENG-APPROVED;G-RELEASE-APPROVED,PORTAL-ENG-ACCEPT;PORTAL-RELEASE,suite:SR-SUITE-CORE,STRICT,evidence.gate_packet,"{""max_iterations"":6,""max_oracle_runs"":40,""max_wallclock_hours"":32}",,Release portal required for artifacts promoted to self-host baseline / demo freeze.
D-34,End-to-end harness (happy path),candidate,"D-22, D-23, D-24, D-25, D-19, D-30, D-31",STRICT-FULL,PKG-11,e2e_harness_happy_path,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-HARNESS-HAPPY;G-HARNESS-FAILURE-MODES;G-REPLAYABILITY-PROOF,G-ENG-APPROVED;G-RELEASE-APPROVED;G-FREEZE-READY,PORTAL-ENG-ACCEPT;PORTAL-RELEASE,suite:SR-SUITE-FULL,STRICT,evidence.gate_packet,"{""max_iterations"":8,""max_oracle_runs"":80,""max_wallclock_hours"":48}",,Release portal required for artifacts promoted to self-host baseline / demo freeze. E2E harness outputs should be eligible for FreezeRecord creation once gates pass.
D-35,End-to-end harness (failure modes: integrity + exception),candidate,"D-34, D-27",STRICT-FULL,PKG-11,e2e_harness_failure_modes,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-HARNESS-HAPPY;G-HARNESS-FAILURE-MODES;G-REPLAYABILITY-PROOF,G-ENG-APPROVED;G-RELEASE-APPROVED;G-FREEZE-READY,PORTAL-ENG-ACCEPT;PORTAL-RELEASE,suite:SR-SUITE-FULL,STRICT,evidence.gate_packet,"{""max_iterations"":8,""max_oracle_runs"":80,""max_wallclock_hours"":48}",,Release portal required for artifacts promoted to self-host baseline / demo freeze. E2E harness outputs should be eligible for FreezeRecord creation once gates pass.
D-36,Replayability demonstration (event stream → reconstructed state),candidate,"D-10, D-11, D-34",STRICT-FULL,PKG-11,replayability_demonstration,G-CTX-ADMISSIBLE,G-VERIFIED-STRICT;G-HARNESS-HAPPY;G-HARNESS-FAILURE-MODES;G-REPLAYABILITY-PROOF;G-REBUILD-FROM-EVENTS-ONLY,G-ENG-APPROVED;G-RELEASE-APPROVED;G-FREEZE-READY,PORTAL-ENG-ACCEPT;PORTAL-RELEASE,suite:SR-SUITE-FULL,STRICT,evidence.gate_packet,"{""max_iterations"":8,""max_oracle_runs"":80,""max_wallclock_hours"":48}",,Release portal required for artifacts promoted to self-host baseline / demo freeze. E2E harness outputs should be eligible for FreezeRecord creation once gates pass.
